[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T16:42:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004217s ]
[2025-08-05T16:42:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004188s ]
[2025-08-05T16:43:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004279s ]
[2025-08-05T16:43:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004156s ]
[2025-08-05T16:44:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004278s ]
[2025-08-05T16:44:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004214s ]
[2025-08-05T16:45:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004208s ]
[2025-08-05T16:45:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004167s ]
[2025-08-05T16:46:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004229s ]
[2025-08-05T16:46:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004178s ]
[2025-08-05T16:47:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004179s ]
[2025-08-05T16:47:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004187s ]
[2025-08-05T16:48:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004189s ]
[2025-08-05T16:48:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004206s ]
